"state","agency","agency_short","fiscal_year","fy_start","fy_end","identified","removed","attests_active","source_footnote","latitude","longitude","address","agency_raw","source"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2011,2010-10-01,2011-09-30,4904,3092,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2012,2011-10-01,2012-09-30,899,528,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2013,2012-10-01,2013-09-30,0,234,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2007,2006-10-01,2007-09-30,,,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2008,2007-10-01,2008-09-30,,,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2009,2008-10-01,2009-09-30,,,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2010,2009-10-01,2010-09-30,,,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2011,2010-10-01,2011-09-30,0,0,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2012,2011-10-01,2012-09-30,0,0,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pima County Sheriff Office","Pima County Sheriff",2013,2012-10-01,2013-09-30,0,0,FALSE,TRUE,32.171055,-110.946574,"1750 E. Benson Highway Tucson, AZ 85714","Pima County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2007,2006-10-01,2007-09-30,,,FALSE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2008,2007-10-01,2008-09-30,36,32,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2009,2008-10-01,2009-09-30,199,166,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2010,2009-10-01,2010-09-30,128,86,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Pinal County Sheriff Office","Pinal County Sheriff",2011,2010-10-01,2011-09-30,121,66,TRUE,TRUE,33.040197,-111.377428,"971 Jason Lopez Circle Building C Florence, AZ 85132","Pinal County Sheriff Office*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
