state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Mississippi,Hinds County,Mississippi Department of Corrections,Tallahatchie County Jail Number 2,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,206 Jail House Street,Sumner,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,TALLAHATCHIE COUNTY SHERIFFS DEPARTMENT,hifld,SHERIFF'S OFFICE,NA,28,28135,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,205 SOUTH PLEASANT STREET,CHARLESTON,Tallahatchie,34.0053985,-90.0548984
Mississippi,Hinds County,Mississippi Department of Corrections,TATE COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28137,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1 JUSTICE DRIVE,SENATOBIA,Tate,34.611470177101054,-89.99334084992641
Mississippi,Hinds County,Mississippi Department of Corrections,TATE COUNTY SHERIFFS DEPARTMENT / TATE COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28137,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1 JUSTICE DRIVE,SENATOBIA,Tate,34.6116384,-89.9933389
Mississippi,Hinds County,Mississippi Department of Corrections,TIPPAH COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28139,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,205 WEST SPRING STREET,RIPLEY,Tippah,34.73062489497258,-88.95034233507887
Mississippi,Hinds County,Mississippi Department of Corrections,TIPPAH COUNTY SHERIFFS DEPARTMENT / TIPPAH COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28139,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,205 WEST SPRING STREET,RIPLEY,Tippah,34.7306517,-88.9502541
Mississippi,Hinds County,Mississippi Department of Corrections,TISHOMINGO COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28141,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1208 BETTYDALE DRIVE,IUKA,Tishomingo,34.812076629127326,-88.20118971042172
Mississippi,Hinds County,Mississippi Department of Corrections,TISHOMINGO COUNTY SHERIFFS DEPARTMENT / TISHOMINGO COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28141,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1111 MARIA LANE,IUKA,Tishomingo,34.812055,-88.201292
Mississippi,Hinds County,Mississippi Department of Corrections,Tunica County Detention Center,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,5126 Old Mhoonlanding Road,Tunica,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,TUNICA COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28143,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,5126 OLD MHOON LANDING ROAD,TUNICA,Tunica,34.69925965981247,-90.38437434076283
