source,state,agency,date_signed,moa_file
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,Charleston County Sheriff's Office,2020-06-09,287gJEM_CharlestonCoSC_06-09-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,Horry County Sheriff's Office,2017-06-30,287gJEM_HorryCoSc2017-06-30.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,Lexington County Sheriff's Office,2016-11-04,287gJEM_LexingtonCoSc2016-11-04.PDF
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,York County Sheriff's Office,2009-10-15,yorkcountysheriffsofficesouthcarolina.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,York County Sheriff's Office,2016-06-28,287gJEM_YorkCoSc2016-06-30.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Tennessee,Davidson County (Metro) Sheriff's Office,,davidsoncountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Tennessee,Greene County Sheriff's Office,2019-02-28,287gJEM_GreeneCoTn2019-02-28.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Tennessee,Knox County Sheriff's Office,2017-06-15,287gJEM_KnoxCoTn2017-06-15.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Aransas County Sheriff's Office,2017-06-30,aransas-tx-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Burnet County Sheriff's Office,2018-02-02,287gJEM_BurnetCoTx2018-02-02.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Calhoun County Sheriff's Office,2017-06-28,calhoun-tx-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Carrollton Police Department,,r_287gcarrollton.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Chambers County Sheriff's Office,2017-07-17,chambers-tx-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,DeWitt County Sheriff's Office,2017-06-30,DeWitt-tx-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Texas,Galveston County Sheriff's Office,2017-06-30,galveston-tx-2017.pdf
