"source","as_of","state","agency","model","date_signed","needs_review"
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Nevada","Las Vegas Metropolitan Police Department","Jail Enforcement",2008-09-08,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"New Hampshire","Hudson City Police Department","Task Force",2007-05-05,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"New Jersey","Hudson County Department of Corrections","Hybrid",2008-08-11,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"New Jersey","Monmouth County Sheriff's Office","Jail Enforcement",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"New Mexico","New Mexico Department of Corrections","Jail Enforcement",2007-09-17,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Alamance County Sheriff's Office","Jail Enforcement",2007-01-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Cabarrus County Sheriff's Office","Jail Enforcement",2007-08-02,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Durham Police Department","Task Force",2008-02-01,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Gaston County Sheriff's Office","Jail Enforcement",2007-02-22,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Guilford County Sheriff's Office","Task Force",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Henderson County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Mecklenburg County Sheriff's Office","Jail Enforcement",2006-02-27,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"North Carolina","Wake County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Ohio","Butler County Sheriff's Office","Hybrid",2008-02-05,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Oklahoma","Tulsa County Sheriff's Office","Hybrid",2007-08-06,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Rhode Island","Rhode Island State Police","Task Force",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"South Carolina","Beaufort County Sheriff's Office","Task Force",2008-06-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"South Carolina","Charleston County Sheriff's Office","Jail Enforcement",2009-11-09,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"South Carolina","York County Sheriff's Office","Jail Enforcement",2007-10-16,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Tennessee","Davidson County Sheriff's Office","Jail Enforcement",2007-02-21,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Tennessee","Tennessee Department of Safety","Task Force",2008-06-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Texas","Carrollton Police Department","Jail Enforcement",2008-08-12,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Texas","Farmers Branch Police Department","Task Force",2008-07-08,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Texas","Harris County Sheriff's Office","Jail Enforcement",2008-07-20,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Utah","Washington County Sheriff Office","Jail Enforcement",2008-09-22,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Utah","Weber County Sheriff's Office","Jail Enforcement",2008-09-22,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Herndon Police Department","Task Force",2007-03-21,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Loudoun County Sheriff's Office","Task Force",2008-06-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Manassas Park Police Department","Task Force",2008-03-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Manassas Police Department","Task Force",2008-03-05,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Prince William County Police Department","Task Force",2008-02-26,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Prince William County Sheriff's Office","Task Force",2008-02-26,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Prince William-Manassas Regional Jail","Jail Enforcement",2007-07-09,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Rockingham County Sheriff's Office","Hybrid",2007-04-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Virginia","Shenandoah County Sheriff's Office","Hybrid",2007-05-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Alabama","Department of Public Safety","Task Force",2003-09-10,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Alabama","Etowah County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Benton County Sheriff's Office","Hybrid",2007-09-26,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","City of Mesa Police Department","Hybrid",2009-11-19,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","City of Phoenix Police Department","Hybrid",2008-03-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","City of Springdale Police Department","Hybrid",2007-09-26,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Department of Corrections","Jail Enforcement",2005-09-16,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Department of Public Safety","Hybrid",2007-04-15,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Florence Police Department","Task Force",2009-10-21,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Maricopa County Sheriff's Office","Jail Enforcement",2007-02-07,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Pima County Sheriff's Office","Hybrid",2008-03-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Pinal County Sheriff's Office","Hybrid",2008-03-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Rogers Police Department","Task Force",2007-09-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Arizona","Yavapai County Sheriff's Office","Hybrid",2008-03-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Colorado","Department of Public Safety","Task Force",2007-03-29,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Colorado","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Connecticut","Bay County Sheriff's Office","Task Force",2008-06-15,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Connecticut","City of Danbury Police Department","Task Force",2009-10-15,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Connecticut","Collier County Sheriff's Office","Hybrid",2007-08-06,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Connecticut","Delaware<U+2020> Delaware Department of Corrections","Jail Enforcement",2009-10-15,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Florida","Cobb County Sheriff's Office","Hybrid",2007-02-13,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Florida","Department of Law Enforcement","Task Force",2002-07-02,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Florida","Jacksonville Sheriff's Office","Hybrid",2008-07-08,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Georgia","Department of Public Safety","Task Force",2007-07-27,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Georgia","Gwinnett County Sheriff's Office","Jail Enforcement",2009-10-15,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Georgia","Hall County Sheriff's Office","Hybrid",2008-02-29,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Georgia","Whitfield County Sheriff's Office","Jail Enforcement",2008-02-04,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Maryland","Frederick County Sheriff's Office","Hybrid",2008-02-06,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Minnesota","Department of Public Safety","Task Force",2008-09-22,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Missouri","State Highway Patrol","Task Force",2008-06-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Nevada","Las Vegas Metropolitan Police Department","Jail Enforcement",2008-09-08,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Hampshire","Hudson City Police Department","Task Force",2007-05-05,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Hampshire","Hudson County Department of Corrections","Hybrid",2008-08-11,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Hampshire","Monmouth County Sheriff's Office","Jail Enforcement",2009-10-15,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Alamance County Sheriff's Office","Jail Enforcement",2007-01-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Cabarrus County Sheriff's Office","Jail Enforcement",2007-08-02,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Department of Corrections","Jail Enforcement",2007-09-17,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Durham Police Department","Task Force",2008-02-01,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Gaston County Sheriff's Office","Jail Enforcement",2007-02-22,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Guilford County Sheriff's Office","Task Force",2009-10-15,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Henderson County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Mecklenburg County Sheriff's Office","Jail Enforcement",2006-02-27,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"New Mexico","Wake County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Ohio","Butler County Sheriff's Office","Hybrid",2008-02-05,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Oklahoma","Tulsa County Sheriff's Office","Hybrid",2007-08-06,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Rhode Island","Beaufort County Sheriff's Office","Task Force",2008-06-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Rhode Island","State Police","Task Force",2009-10-15,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"South Carolina","Charleston County Sheriff's Office","Jail Enforcement",2009-11-09,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"South Carolina","Davidson County Sheriff's Office","Jail Enforcement",2007-02-21,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"South Carolina","York County Sheriff's Office","Jail Enforcement",2007-10-16,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Tennessee","Carrollton Police Department","Jail Enforcement",2008-08-12,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Tennessee","Highway Patrol/Department of Safety","Task Force",2008-06-25,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Texas","Farmers Branch Police Department","Task Force",2008-07-08,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Texas","Harris County Sheriff's Office","Jail Enforcement",2008-07-20,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Virginia","Prince William County Police Department","Task Force",2008-02-26,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Virginia","Prince William County Sheriff's Office","Task Force",2008-02-26,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Virginia","Prince William-Manassas Regional Jail","Jail Enforcement",2007-07-09,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Virginia","Rockingham County Sheriff's Office","Hybrid",2007-04-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Virginia","Shenandoah County Sheriff's Office","Hybrid",2007-05-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","County Sheriff's Office","Hybrid",2007-09-26,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","County Sheriff's Office","Jail Enforcement",2008-09-22,TRUE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Herndon Police Department","Task Force",2007-03-21,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Loudoun County Sheriff's Office","Task Force",2008-06-25,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Manassas Park Police Department","Task Force",2008-03-10,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Manassas Police Department","Task Force",2008-03-05,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Riverside County Sheriff's Office","Jail Enforcement",2010-04-28,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","San Bernardino County Sheriff's Office","Jail Enforcement",2005-11-19,FALSE
"NCLR/Lacayo App. A (2 Aug 2010)",2010-08-02,"Washington","Weber County Sheriff's Office","Jail Enforcement",2008-09-22,FALSE
