"state","agency","jurisdiction_level","county_fips","county_name","first_signed_best","first_signed_source","latest_signed","signing_dates","models","active_from","active_to","terminated","n_rosters","in_ice_roster","in_kostandini","in_yale_2008","n_sources","confidence","moa_files","moa_pdf_present","moa_archived_url"
"NEW JERSEY","Monmouth County Sheriff's Office","local","34025","Monmouth County, NJ",2009-10-15,"Kostandini Table A1",2016-06-08,"2009-10-15; 2013-06-28; 2014-05-21; 2016-06-08","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gmonmouth.pdf; r_287gmonmouth101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmonmouth.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmonmouth101509.pdf"
"NEW JERSEY","Salem County Sheriff<U+2019>s Office",,,,2016-12-08,"ICE roster (earliest observed)",2016-12-08,"2016-12-08","Jail Enforcement",2017-03-05,2017-08-01,FALSE,5,TRUE,FALSE,FALSE,1,"medium","SALEM_MOA_12-8-16.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/SALEM_MOA_12-8-16.pdf"
"NEW MEXICO","New Mexico Department of Corrections","statewide",,,2007-09-17,"Kostandini Table A1",2007-09-17,"2007-09-17","Jail Enforcement",2010-10-29,2012-12-31,TRUE,11,TRUE,TRUE,FALSE,2,"high","r_287gnewmexicodeptofcorrections.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gnewmexicodeptofcorrections.pdf"
"NORTH CAROLINA","Alamance County Sheriff's Office","local","37001","Alamance County, NC",2007-01-10,"Kostandini Table A1",2007-01-10,"2007-01-10","Jail Enforcement",2010-10-29,2012-10-02,TRUE,8,TRUE,TRUE,FALSE,2,"high","r_287galamancenorthcarolina101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287galamancenorthcarolina101509.pdf"
"NORTH CAROLINA","Cabarrus County Sheriff's Office","local","37025","Cabarrus County, NC",2007-08-02,"Kostandini Table A1",2016-06-28,"2007-08-02; 2013-06-28; 2016-06-28","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gcabarrus.pdf; r_287gcabarrus101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcabarrus.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gcabarrus101509.pdf"
"NORTH CAROLINA","City of Durham Police Department","local","37063; 37063","Durham County, NC; Durham County, NC",2008-02-01,"Kostandini Table A1",2008-02-01,"2008-02-01","Task Force",2010-10-29,2012-10-16,TRUE,9,TRUE,TRUE,FALSE,2,"high","r_287gdurham101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gdurham101509.pdf"
"NORTH CAROLINA","Gaston County Sheriff's Office","local","37071","Gaston County, NC",2007-02-22,"Kostandini Table A1",2016-06-30,"2007-02-22; 2013-06-28; 2016-06-30","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287ggaston.pdf; r_287ggaston101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287ggaston.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287ggaston101509.pdf"
"NORTH CAROLINA","Guilford County Sheriff's Office","local","37081","Guilford County, NC",2009-10-15,"ICE roster (earliest observed)",2009-10-15,"2009-10-15","Task Force",2010-10-29,2010-10-29,TRUE,1,TRUE,FALSE,FALSE,1,"medium","r_287gguilford.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gguilford.pdf"
"NORTH CAROLINA","Henderson County Sheriff's Office","local","37089","Henderson County, NC",2008-06-25,"Kostandini Table A1",2017-02-28,"2008-06-25; 2013-06-28; 2017-02-28","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287ghenderson.pdf; r_287ghenderson101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287ghenderson.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287ghenderson101509.pdf"
"NORTH CAROLINA","Mecklenburg County Sheriff's Office","local","37119","Mecklenburg County, NC",2006-02-27,"Kostandini Table A1",2017-02-28,"2006-02-27; 2013-12-30; 2017-02-28","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gmecklenburgso.pdf; r_287gmecklenburgso101609.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmecklenburgso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmecklenburgso101609.pdf"
"NORTH CAROLINA","Wake County Sheriff's Office","local","37183","Wake County, NC",2008-06-25,"Kostandini Table A1",2016-06-08,"2008-06-25; 2013-06-28; 2016-06-08","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gwakecountyso.pdf; r_287gwakecountyso101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gwakecountyso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gwakecountyso101509.pdf"
"OHIO","Butler County Sheriff's Office","local","39017","Butler County, OH",2008-02-05,"Kostandini Table A1",2016-09-30,"2008-02-05; 2013-06-28; 2016-09-30","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gbutlercounty.pdf; r_287gbutlercounty101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gbutlercounty.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gbutlercounty101509.pdf"
"OKLAHOMA","Tulsa County Sheriff's Office","local","40143","Tulsa County, OK",2007-08-06,"Kostandini Table A1",2016-06-23,"2007-08-06; 2013-06-28; 2016-06-23","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gtulsacountyso.pdf; r_287gtulsacountyso101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gtulsacountyso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gtulsacountyso101509.pdf"
